nome;estrelas;criado_em;atualizado_em;idade_anos;linguagem;pull_requests_aceitas;total_releases;total_issues;issues_fechadas;razao_issues_fechadas;dias_desde_atualizacao
codecrafters-io/build-your-own-x;470086;2018-05-09;2026-02-28;7.81;Markdown;155;0;886;653;0.7370;0
sindresorhus/awesome;441355;2014-07-11;2026-02-28;11.64;(não detectada);693;0;364;348;0.9560;0
freeCodeCamp/freeCodeCamp;437597;2014-12-24;2026-02-28;11.18;TypeScript;27697;0;21135;20942;0.9909;0
public-apis/public-apis;401221;2016-03-20;2026-02-28;9.94;Python;1872;0;833;830;0.9964;0
EbookFoundation/free-programming-books;383316;2013-10-11;2026-02-28;12.38;Python;7328;0;1262;1227;0.9723;0
kamranahmedse/developer-roadmap;349888;2017-03-15;2026-02-28;8.96;TypeScript;4050;1;3076;3049;0.9912;0
jwasham/coding-interview-university;337500;2016-06-05;2026-02-28;9.73;(não detectada);415;0;525;454;0.8648;0
donnemartin/system-design-primer;336929;2017-02-26;2026-02-28;9.01;Python;203;0;358;110;0.3073;0
vinta/awesome-python;284922;2014-06-27;2026-02-28;11.67;Python;637;0;0;0;0;0
awesome-selfhosted/awesome-selfhosted;275796;2015-05-31;2026-02-28;10.75;(não detectada);2395;1;807;807;1.0000;0
996icu/996.ICU;275567;2019-03-26;2026-02-28;6.93;(não detectada);1072;0;0;0;0;0
practical-tutorials/project-based-learning;259738;2017-04-12;2026-02-28;8.88;(não detectada);182;0;227;82;0.3612;0
facebook/react;243366;2013-05-24;2026-02-28;12.77;JavaScript;12762;118;14378;13564;0.9434;0
openclaw/openclaw;239905;2025-11-24;2026-02-28;0.26;TypeScript;2192;56;13439;9172;0.6825;0
torvalds/linux;219832;2011-09-04;2026-02-28;14.49;C;0;0;0;0;0;0
TheAlgorithms/Python;218221;2016-07-16;2026-02-28;9.62;Python;3046;0;1702;1540;0.9048;0
vuejs/vue;209929;2013-07-29;2026-02-28;12.59;TypeScript;1136;249;10027;9668;0.9642;0
trimstray/the-book-of-secret-knowledge;208128;2018-06-23;2026-02-28;7.69;(não detectada);122;0;0;0;0;0
ossu/computer-science;201902;2014-05-03;2026-02-28;11.82;HTML;304;0;665;653;0.9820;0
trekhleb/javascript-algorithms;195706;2018-03-24;2026-02-28;7.94;JavaScript;304;0;371;233;0.6280;0
tensorflow/tensorflow;193940;2015-11-06;2026-02-28;10.31;C++;42113;220;41172;40297;0.9787;0
ohmyzsh/ohmyzsh;185018;2009-08-28;2026-02-28;16.50;Shell;3509;0;5030;4889;0.9720;0
getify/You-Dont-Know-JS;184443;2013-11-16;2026-02-28;12.29;(não detectada);370;0;949;949;1.0000;0
CyC2018/CS-Notes;183738;2018-02-13;2026-02-28;8.04;(não detectada);374;0;577;449;0.7782;0
microsoft/vscode;182157;2015-09-03;2026-02-28;10.49;TypeScript;43016;196;231402;218197;0.9429;0
Significant-Gravitas/AutoGPT;182099;2023-03-16;2026-02-28;2.96;Python;3938;93;3730;3498;0.9378;0
