nome_completo;estrelas;forks;releases;idade_anos;disk_usage_kb;loc_java;comentarios_linhas;classes_analisadas;cbo_media;cbo_mediana;cbo_desvio;dit_media;dit_mediana;dit_desvio;lcom_media;lcom_mediana;lcom_desvio
krahets/hello-algo;123908;14944;10;3.3876;;20805;7900;215;1.8419;2.0000;1.5017;1.0000;1.0000;0.0000;4.7070;1.0000;10.4579
GrowingGit/GitHub-Chinese-Top-Charts;107087;13530;0;6.5535;;5;1;1;0.0000;0.0000;0.0000;1.0000;1.0000;0.0000;0.0000;0.0000;0.0000
iluwatar/java-design-patterns;93834;27368;0;11.6251;;50316;59245;1990;3.3643;3.0000;2.6125;1.1960;1.0000;0.5295;1.8276;0.0000;6.3525
macrozheng/mall;83237;29677;3;7.9746;;65769;3050;760;3.9408;3.0000;4.9806;1.2395;1.0000;0.4392;1110.8039;13.0000;8155.5552
spring-projects/spring-boot;80308;41863;342;13.4296;;506461;223289;13944;5.5049;4.0000;6.4213;1.2909;1.0000;0.7786;12.9384;0.0000;108.3276
doocs/advanced-java;78920;19269;1;7.4669;;5;3;1;0.0000;0.0000;0.0000;1.0000;1.0000;0.0000;0.0000;0.0000;0.0000
MisterBooo/LeetCodeAnimation;76699;13977;0;7.3003;;265;16;4;1.0000;1.0000;0.0000;1.0000;1.0000;0.0000;0.0000;0.0000;0.0000
kdn251/interviews;64935;12922;0;9.1061;;11570;6572;257;1.3035;1.0000;1.2814;1.0078;1.0000;0.0880;0.2918;0.0000;0.9294
TheAlgorithms/Java;65278;21038;0;9.6902;;84280;31066;1771;2.0768;2.0000;1.4732;1.0384;1.0000;0.2597;11.2050;1.0000;37.1217
termux/termux-app;52471;6275;95;10.4213;;26894;10634;321;5.9128;4.0000;7.1871;1.4299;1.0000;0.7042;60.8255;0.0000;236.3712
google/guava;51503;11153;57;11.8223;;510079;191349;5974;4.2514;2.0000;5.7014;1.8719;1.0000;2.3655;51.4325;0.0000;460.8465
spring-projects/spring-framework;59785;38899;359;15.2953;;856517;422432;18771;5.2244;3.0000;6.7736;1.4613;1.0000;1.3845;29.5015;0.0000;274.1417
ReactiveX/RxJava;48469;7602;256;13.2072;;319405;81862;11897;2.3219;1.0000;5.1347;1.3181;1.0000;0.8856;47.8836;0.0000;1822.9146
skylot/jadx;47784;5467;34;13.0187;;149503;6956;3081;4.4794;3.0000;6.6217;1.6939;1.0000;1.2698;32.2957;0.0000;317.3018
