nome_completo;url;estrelas;forks;releases;open_issues;disk_usage_kb;criado_em;atualizado_em;idade_anos;linguagem_primaria
Snailclimb/JavaGuide;https://github.com/Snailclimb/JavaGuide;154475;46133;0;67;;2018-05-07;2026-03-25;7.8829;Java
krahets/hello-algo;https://github.com/krahets/hello-algo;123908;14944;10;9;;2022-11-04;2026-03-25;3.3876;Java
GrowingGit/GitHub-Chinese-Top-Charts;https://github.com/GrowingGit/GitHub-Chinese-Top-Charts;107087;13530;0;184;;2019-09-05;2026-03-25;6.5535;Java
iluwatar/java-design-patterns;https://github.com/iluwatar/java-design-patterns;93834;27368;0;140;;2014-08-09;2026-03-25;11.6251;Java
macrozheng/mall;https://github.com/macrozheng/mall;83237;29677;3;10;;2018-04-04;2026-03-25;7.9746;Java
spring-projects/spring-boot;https://github.com/spring-projects/spring-boot;80308;41863;342;469;;2012-10-19;2026-03-25;13.4296;Java
doocs/advanced-java;https://github.com/doocs/advanced-java;78920;19269;1;1;;2018-10-06;2026-03-25;7.4669;Java
MisterBooo/LeetCodeAnimation;https://github.com/MisterBooo/LeetCodeAnimation;76699;13977;0;18;;2018-12-06;2026-03-25;7.3003;Java
elastic/elasticsearch;https://github.com/elastic/elasticsearch;76393;25824;238;4499;;2010-02-08;2026-03-25;16.1238;Java
NationalSecurityAgency/ghidra;https://github.com/NationalSecurityAgency/ghidra;66141;7288;52;1534;;2019-03-01;2026-03-25;7.0681;Java
TheAlgorithms/Java;https://github.com/TheAlgorithms/Java;65278;21038;0;31;;2016-07-16;2026-03-25;9.6902;Java
kdn251/interviews;https://github.com/kdn251/interviews;64935;12922;0;34;;2017-02-14;2026-03-25;9.1061;Java
spring-projects/spring-framework;https://github.com/spring-projects/spring-framework;59785;38899;359;314;;2010-12-08;2026-03-25;15.2953;Java
termux/termux-app;https://github.com/termux/termux-app;52471;6275;95;441;;2015-10-23;2026-03-25;10.4213;Java
google/guava;https://github.com/google/guava;51503;11153;57;619;;2014-05-29;2026-03-25;11.8223;Java
dbeaver/dbeaver;https://github.com/dbeaver/dbeaver;49271;4088;244;3175;;2015-10-21;2026-03-25;10.4269;Java
ReactiveX/RxJava;https://github.com/ReactiveX/RxJava;48469;7602;256;16;;2013-01-08;2026-03-25;13.2072;Java
skylot/jadx;https://github.com/skylot/jadx;47784;5467;34;411;;2013-03-18;2026-03-25;13.0187;Java
jeecgboot/JeecgBoot;https://github.com/jeecgboot/JeecgBoot;45566;15852;70;49;;2018-11-26;2026-03-25;7.3274;Java
apache/dubbo;https://github.com/apache/dubbo;41710;26529;113;815;;2012-06-19;2026-03-25;13.7644;Java
