ano,relacoes,cves_distintos,cwes_distintas,cvss_media,cvss_mediana
1999,56,56,19,6.895,7.5
2000,31,31,18,6.526,7.2
2001,97,97,42,6.876,7.5
2002,302,299,53,6.473,6.8
2003,286,282,36,6.276,6.4
2004,240,238,54,6.34,6.25
2005,473,470,69,6.208,6.5
2006,941,932,47,6.339,6.8
2007,2605,2518,62,6.546,6.8
2008,5198,5160,59,6.672,7.2
2009,4957,4930,62,6.599,6.8
2010,3794,3773,64,6.538,6.8
2011,3392,3379,61,6.45,6.8
2012,4192,4162,61,6.095,5.8
2013,4158,4132,59,6.057,5.8
2014,6897,6823,86,5.78,5.4
2015,5277,5200,75,6.216,6.5
2016,5643,5372,100,7.229,7.5
2017,13479,12978,211,7.276,7.5
2018,16022,14643,253,7.414,7.5
2019,16387,15043,271,7.33,7.5
2020,16374,14659,328,7.218,7.5
2021,19187,17092,362,7.144,7.5
2022,24851,22107,418,7.196,7.5
2023,29319,26503,493,7.191,7.5
2024,41872,37920,554,6.886,6.9
2025,52882,45003,576,6.372,6.5
