ano,severidade,n_cves,ordem,pct_no_ano
1999,LOW,2,1,3.57
1999,MEDIUM,20,2,35.71
1999,HIGH,31,3,55.36
1999,CRITICAL,3,4,5.36
2000,LOW,3,1,9.68
2000,MEDIUM,10,2,32.26
2000,HIGH,16,3,51.61
2000,CRITICAL,2,4,6.45
2001,LOW,6,1,6.19
2001,MEDIUM,32,2,32.99
2001,HIGH,47,3,48.45
2001,CRITICAL,12,4,12.37
2002,LOW,16,1,5.3
2002,MEDIUM,140,2,46.36
2002,HIGH,136,3,45.03
2002,CRITICAL,10,4,3.31
2003,LOW,8,1,2.8
2003,MEDIUM,162,2,56.64
2003,HIGH,107,3,37.41
2003,CRITICAL,9,4,3.15
2004,LOW,12,1,5.0
2004,MEDIUM,121,2,50.42
2004,HIGH,97,3,40.42
2004,CRITICAL,10,4,4.17
2005,LOW,32,1,6.77
2005,MEDIUM,219,2,46.3
2005,HIGH,209,3,44.19
2005,CRITICAL,13,4,2.75
2006,LOW,54,1,5.74
2006,MEDIUM,468,2,49.73
2006,HIGH,414,3,44.0
2006,CRITICAL,5,4,0.53
2007,LOW,103,1,3.98
2007,MEDIUM,1331,2,51.37
2007,HIGH,1138,3,43.92
2007,CRITICAL,19,4,0.73
2008,LOW,167,1,3.22
2008,MEDIUM,2376,2,45.75
2008,HIGH,2632,3,50.68
2008,CRITICAL,18,4,0.35
2009,LOW,164,1,3.31
2009,MEDIUM,2363,2,47.67
2009,HIGH,2417,3,48.76
2009,CRITICAL,13,4,0.26
2010,LOW,224,1,5.9
2010,MEDIUM,1799,2,47.42
2010,HIGH,1748,3,46.07
2010,CRITICAL,23,4,0.61
2011,LOW,187,1,5.51
2011,MEDIUM,1732,2,51.06
2011,HIGH,1467,3,43.25
2011,CRITICAL,6,4,0.18
2012,LOW,370,1,8.83
2012,MEDIUM,2422,2,57.78
2012,HIGH,1381,3,32.94
2012,CRITICAL,19,4,0.45
2013,LOW,419,1,10.08
2013,MEDIUM,2373,2,57.07
2013,HIGH,1343,3,32.3
2013,CRITICAL,23,4,0.55
2014,LOW,551,1,7.99
2014,MEDIUM,4733,2,68.62
2014,HIGH,1596,3,23.14
2014,CRITICAL,17,4,0.25
2015,LOW,466,1,8.83
2015,MEDIUM,2923,2,55.39
2015,HIGH,1847,3,35.0
2015,CRITICAL,41,4,0.78
2016,LOW,162,1,2.87
2016,MEDIUM,2094,2,37.11
2016,HIGH,2610,3,46.25
2016,CRITICAL,777,4,13.77
2017,LOW,186,1,1.38
2017,MEDIUM,5299,2,39.32
2017,HIGH,5964,3,44.25
2017,CRITICAL,2029,4,15.05
2018,LOW,153,1,0.95
2018,MEDIUM,5739,2,35.82
2018,HIGH,7512,3,46.89
2018,CRITICAL,2618,4,16.34
2019,LOW,234,1,1.43
2019,MEDIUM,6568,2,40.09
2019,HIGH,6879,3,41.99
2019,CRITICAL,2703,4,16.5
2020,LOW,358,1,2.19
2020,MEDIUM,6561,2,40.07
2020,HIGH,6783,3,41.43
2020,CRITICAL,2672,4,16.32
2021,LOW,381,1,1.99
2021,MEDIUM,7850,2,40.92
2021,HIGH,8338,3,43.46
2021,CRITICAL,2615,4,13.63
2022,LOW,520,1,2.09
2022,MEDIUM,10059,2,40.48
2022,HIGH,10033,3,40.38
2022,CRITICAL,4237,4,17.05
2023,LOW,388,1,1.32
2023,MEDIUM,12457,2,42.49
2023,HIGH,11610,3,39.6
2023,CRITICAL,4864,4,16.59
2024,LOW,836,1,2.0
2024,MEDIUM,20780,2,49.63
2024,HIGH,15537,3,37.11
2024,CRITICAL,4714,4,11.26
2025,LOW,4895,1,9.26
2025,MEDIUM,26390,2,49.91
2025,HIGH,17002,3,32.16
2025,CRITICAL,4585,4,8.67
