cwe_id,cwe_nome_curto,cwe_label
CWE-1,CWE-1,CWE-1
CWE-1004,CWE-1004,CWE-1004
CWE-1007,CWE-1007,CWE-1007
CWE-1018,CWE-1018,CWE-1018
CWE-102,CWE-102,CWE-102
CWE-1021,CWE-1021,CWE-1021
CWE-1022,CWE-1022,CWE-1022
CWE-1023,CWE-1023,CWE-1023
CWE-1024,CWE-1024,CWE-1024
CWE-1025,CWE-1025,CWE-1025
CWE-1026,CWE-1026,CWE-1026
CWE-1027,CWE-1027,CWE-1027
CWE-1032,CWE-1032,CWE-1032
CWE-1037,CWE-1037,CWE-1037
CWE-1038,CWE-1038,CWE-1038
CWE-1039,CWE-1039,CWE-1039
CWE-1049,CWE-1049,CWE-1049
CWE-1050,CWE-1050,CWE-1050
CWE-1051,CWE-1051,CWE-1051
CWE-1055,CWE-1055,CWE-1055
CWE-1056,CWE-1056,CWE-1056
CWE-1057,CWE-1057,CWE-1057
CWE-1059,CWE-1059,CWE-1059
CWE-1068,CWE-1068,CWE-1068
CWE-1076,CWE-1076,CWE-1076
CWE-1077,CWE-1077,CWE-1077
CWE-1078,CWE-1078,CWE-1078
CWE-1083,CWE-1083,CWE-1083
CWE-1088,CWE-1088,CWE-1088
CWE-11,CWE-11,CWE-11
CWE-1100,CWE-1100,CWE-1100
CWE-1102,CWE-1102,CWE-1102
CWE-1103,CWE-1103,CWE-1103
CWE-1104,CWE-1104,CWE-1104
CWE-1106,CWE-1106,CWE-1106
CWE-1107,CWE-1107,CWE-1107
CWE-1108,CWE-1108,CWE-1108
CWE-111,CWE-111,CWE-111
CWE-1112,CWE-1112,CWE-1112
CWE-1116,CWE-1116,CWE-1116
CWE-1118,CWE-1118,CWE-1118
CWE-112,CWE-112,CWE-112
CWE-1125,CWE-1125,CWE-1125
CWE-113,CWE-113,CWE-113
CWE-114,CWE-114,CWE-114
CWE-115,CWE-115,CWE-115
CWE-116,CWE-116,CWE-116
CWE-1164,CWE-1164,CWE-1164
CWE-117,CWE-117,CWE-117
CWE-1173,CWE-1173,CWE-1173
CWE-1174,CWE-1174,CWE-1174
CWE-1176,CWE-1176,CWE-1176
CWE-118,CWE-118,CWE-118
CWE-1187,CWE-1187,CWE-1187
CWE-1188,CWE-1188,CWE-1188
CWE-1189,CWE-1189,CWE-1189
CWE-119,Buffer Overflow,CWE-119 - Buffer Overflow
CWE-1190,CWE-1190,CWE-1190
CWE-1191,CWE-1191,CWE-1191
CWE-12,CWE-12,CWE-12
CWE-120,Classic Buffer Overflow,CWE-120 - Classic Buffer Overflow
CWE-1204,CWE-1204,CWE-1204
CWE-121,Stack-based Buffer Overflow,CWE-121 - Stack-based Buffer Overflow
CWE-1218,CWE-1218,CWE-1218
CWE-122,Heap-based Buffer Overflow,CWE-122 - Heap-based Buffer Overflow
CWE-1220,CWE-1220,CWE-1220
CWE-1221,CWE-1221,CWE-1221
CWE-1222,CWE-1222,CWE-1222
CWE-1223,CWE-1223,CWE-1223
CWE-1224,CWE-1224,CWE-1224
CWE-123,CWE-123,CWE-123
CWE-1230,CWE-1230,CWE-1230
CWE-1231,CWE-1231,CWE-1231
CWE-1233,CWE-1233,CWE-1233
CWE-1234,CWE-1234,CWE-1234
CWE-1236,CWE-1236,CWE-1236
CWE-124,CWE-124,CWE-124
CWE-1240,CWE-1240,CWE-1240
CWE-1241,CWE-1241,CWE-1241
CWE-1242,CWE-1242,CWE-1242
CWE-1244,CWE-1244,CWE-1244
CWE-1245,CWE-1245,CWE-1245
CWE-1246,CWE-1246,CWE-1246
CWE-1247,CWE-1247,CWE-1247
CWE-125,Out-of-bounds Read,CWE-125 - Out-of-bounds Read
CWE-1250,CWE-1250,CWE-1250
CWE-1251,CWE-1251,CWE-1251
CWE-1253,CWE-1253,CWE-1253
CWE-1254,CWE-1254,CWE-1254
CWE-1255,CWE-1255,CWE-1255
CWE-1256,CWE-1256,CWE-1256
CWE-1257,CWE-1257,CWE-1257
CWE-1258,CWE-1258,CWE-1258
CWE-1259,CWE-1259,CWE-1259
CWE-126,CWE-126,CWE-126
CWE-1260,CWE-1260,CWE-1260
CWE-1262,CWE-1262,CWE-1262
CWE-1263,CWE-1263,CWE-1263
CWE-1264,CWE-1264,CWE-1264
CWE-1265,CWE-1265,CWE-1265
CWE-1269,CWE-1269,CWE-1269
CWE-127,CWE-127,CWE-127
CWE-1270,CWE-1270,CWE-1270
CWE-1272,CWE-1272,CWE-1272
CWE-1274,CWE-1274,CWE-1274
CWE-1275,CWE-1275,CWE-1275
CWE-1278,CWE-1278,CWE-1278
CWE-1279,CWE-1279,CWE-1279
CWE-128,CWE-128,CWE-128
CWE-1281,CWE-1281,CWE-1281
CWE-1282,CWE-1282,CWE-1282
CWE-1283,CWE-1283,CWE-1283
CWE-1284,CWE-1284,CWE-1284
CWE-1285,CWE-1285,CWE-1285
CWE-1286,CWE-1286,CWE-1286
CWE-1287,CWE-1287,CWE-1287
CWE-1288,CWE-1288,CWE-1288
CWE-1289,CWE-1289,CWE-1289
CWE-129,CWE-129,CWE-129
CWE-1291,CWE-1291,CWE-1291
CWE-1295,CWE-1295,CWE-1295
CWE-1298,CWE-1298,CWE-1298
CWE-1299,CWE-1299,CWE-1299
CWE-130,CWE-130,CWE-130
CWE-1300,CWE-1300,CWE-1300
CWE-1301,CWE-1301,CWE-1301
CWE-1303,CWE-1303,CWE-1303
CWE-1304,CWE-1304,CWE-1304
CWE-131,CWE-131,CWE-131
CWE-1310,CWE-1310,CWE-1310
CWE-1313,CWE-1313,CWE-1313
CWE-1319,CWE-1319,CWE-1319
CWE-1320,CWE-1320,CWE-1320
CWE-1321,CWE-1321,CWE-1321
CWE-1323,CWE-1323,CWE-1323
CWE-1325,CWE-1325,CWE-1325
CWE-1326,CWE-1326,CWE-1326
CWE-1327,CWE-1327,CWE-1327
CWE-1328,CWE-1328,CWE-1328
CWE-1329,CWE-1329,CWE-1329
CWE-1332,CWE-1332,CWE-1332
CWE-1333,CWE-1333,CWE-1333
CWE-1334,CWE-1334,CWE-1334
CWE-1335,CWE-1335,CWE-1335
CWE-1336,CWE-1336,CWE-1336
CWE-134,CWE-134,CWE-134
CWE-1342,CWE-1342,CWE-1342
CWE-1352,CWE-1352,CWE-1352
CWE-1357,CWE-1357,CWE-1357
CWE-138,CWE-138,CWE-138
CWE-1384,CWE-1384,CWE-1384
CWE-1385,CWE-1385,CWE-1385
CWE-1386,CWE-1386,CWE-1386
CWE-1389,CWE-1389,CWE-1389
CWE-1390,CWE-1390,CWE-1390
CWE-1391,CWE-1391,CWE-1391
CWE-1392,CWE-1392,CWE-1392
CWE-1393,CWE-1393,CWE-1393
CWE-1394,CWE-1394,CWE-1394
CWE-14,CWE-14,CWE-14
CWE-140,CWE-140,CWE-140
CWE-141,CWE-141,CWE-141
CWE-142,CWE-142,CWE-142
CWE-143,CWE-143,CWE-143
CWE-144,CWE-144,CWE-144
CWE-146,CWE-146,CWE-146
CWE-147,CWE-147,CWE-147
CWE-148,CWE-148,CWE-148
CWE-149,CWE-149,CWE-149
CWE-15,CWE-15,CWE-15
CWE-150,CWE-150,CWE-150
CWE-153,CWE-153,CWE-153
CWE-154,CWE-154,CWE-154
CWE-155,CWE-155,CWE-155
CWE-156,CWE-156,CWE-156
CWE-157,CWE-157,CWE-157
CWE-158,CWE-158,CWE-158
CWE-159,CWE-159,CWE-159
CWE-16,CWE-16,CWE-16
CWE-164,CWE-164,CWE-164
CWE-166,CWE-166,CWE-166
CWE-167,CWE-167,CWE-167
CWE-168,CWE-168,CWE-168
CWE-17,CWE-17,CWE-17
CWE-170,CWE-170,CWE-170
CWE-172,CWE-172,CWE-172
CWE-173,CWE-173,CWE-173
CWE-176,CWE-176,CWE-176
CWE-177,CWE-177,CWE-177
CWE-178,CWE-178,CWE-178
CWE-179,CWE-179,CWE-179
CWE-18,CWE-18,CWE-18
CWE-180,CWE-180,CWE-180
CWE-182,CWE-182,CWE-182
CWE-183,CWE-183,CWE-183
CWE-184,CWE-184,CWE-184
CWE-185,CWE-185,CWE-185
CWE-186,CWE-186,CWE-186
CWE-187,CWE-187,CWE-187
CWE-189,Numeric Errors,CWE-189 - Numeric Errors
CWE-19,CWE-19,CWE-19
CWE-190,Integer Overflow,CWE-190 - Integer Overflow
CWE-191,CWE-191,CWE-191
CWE-192,CWE-192,CWE-192
CWE-193,CWE-193,CWE-193
CWE-194,CWE-194,CWE-194
CWE-195,CWE-195,CWE-195
CWE-196,CWE-196,CWE-196
CWE-197,CWE-197,CWE-197
CWE-198,CWE-198,CWE-198
CWE-199,CWE-199,CWE-199
CWE-20,Improper Input Validation,CWE-20 - Improper Input Validation
CWE-200,Information Exposure,CWE-200 - Information Exposure
CWE-201,CWE-201,CWE-201
CWE-202,CWE-202,CWE-202
CWE-203,CWE-203,CWE-203
CWE-204,CWE-204,CWE-204
CWE-205,CWE-205,CWE-205
CWE-207,CWE-207,CWE-207
CWE-208,CWE-208,CWE-208
CWE-209,CWE-209,CWE-209
CWE-21,CWE-21,CWE-21
CWE-210,CWE-210,CWE-210
CWE-212,CWE-212,CWE-212
CWE-213,CWE-213,CWE-213
CWE-214,CWE-214,CWE-214
CWE-215,CWE-215,CWE-215
CWE-216,CWE-216,CWE-216
CWE-219,CWE-219,CWE-219
CWE-22,Path Traversal,CWE-22 - Path Traversal
CWE-223,CWE-223,CWE-223
CWE-226,CWE-226,CWE-226
CWE-227,CWE-227,CWE-227
CWE-228,CWE-228,CWE-228
CWE-229,CWE-229,CWE-229
CWE-23,CWE-23,CWE-23
CWE-230,CWE-230,CWE-230
CWE-231,CWE-231,CWE-231
CWE-232,CWE-232,CWE-232
CWE-233,CWE-233,CWE-233
CWE-234,CWE-234,CWE-234
CWE-235,CWE-235,CWE-235
CWE-236,CWE-236,CWE-236
CWE-237,CWE-237,CWE-237
CWE-239,CWE-239,CWE-239
CWE-24,CWE-24,CWE-24
CWE-240,CWE-240,CWE-240
CWE-241,CWE-241,CWE-241
CWE-242,CWE-242,CWE-242
CWE-244,CWE-244,CWE-244
CWE-248,CWE-248,CWE-248
CWE-249,CWE-249,CWE-249
CWE-25,CWE-25,CWE-25
CWE-250,CWE-250,CWE-250
CWE-252,CWE-252,CWE-252
CWE-253,CWE-253,CWE-253
CWE-254,CWE-254,CWE-254
CWE-255,Credentials Management Errors,CWE-255 - Credentials Management Errors
CWE-256,CWE-256,CWE-256
CWE-257,CWE-257,CWE-257
CWE-258,CWE-258,CWE-258
CWE-259,CWE-259,CWE-259
CWE-26,CWE-26,CWE-26
CWE-260,CWE-260,CWE-260
CWE-261,CWE-261,CWE-261
CWE-262,CWE-262,CWE-262
CWE-263,CWE-263,CWE-263
CWE-264,Permissions/Privileges,CWE-264 - Permissions/Privileges
CWE-265,CWE-265,CWE-265
CWE-266,CWE-266,CWE-266
CWE-267,CWE-267,CWE-267
CWE-268,CWE-268,CWE-268
CWE-269,Improper Privilege Management,CWE-269 - Improper Privilege Management
CWE-27,CWE-27,CWE-27
CWE-270,CWE-270,CWE-270
CWE-271,CWE-271,CWE-271
CWE-272,CWE-272,CWE-272
CWE-273,CWE-273,CWE-273
CWE-274,CWE-274,CWE-274
CWE-275,CWE-275,CWE-275
CWE-276,Incorrect Default Permissions,CWE-276 - Incorrect Default Permissions
CWE-277,CWE-277,CWE-277
CWE-278,CWE-278,CWE-278
CWE-279,CWE-279,CWE-279
CWE-28,CWE-28,CWE-28
CWE-280,CWE-280,CWE-280
CWE-281,CWE-281,CWE-281
CWE-282,CWE-282,CWE-282
CWE-283,CWE-283,CWE-283
CWE-284,Improper Access Control,CWE-284 - Improper Access Control
CWE-285,Improper Authorization,CWE-285 - Improper Authorization
CWE-286,CWE-286,CWE-286
CWE-287,Improper Authentication,CWE-287 - Improper Authentication
CWE-288,CWE-288,CWE-288
CWE-289,CWE-289,CWE-289
CWE-29,CWE-29,CWE-29
CWE-290,CWE-290,CWE-290
CWE-291,CWE-291,CWE-291
CWE-292,CWE-292,CWE-292
CWE-293,CWE-293,CWE-293
CWE-294,CWE-294,CWE-294
CWE-295,Improper Certificate Validation,CWE-295 - Improper Certificate Validation
CWE-296,CWE-296,CWE-296
CWE-297,CWE-297,CWE-297
CWE-298,CWE-298,CWE-298
CWE-299,CWE-299,CWE-299
CWE-30,CWE-30,CWE-30
