cvss_score_arredondado,n_cves,faixa_severidade
0.0,12,NONE
0.3,15,LOW
0.5,2,LOW
0.6,3,LOW
0.9,11,LOW
1.0,37,LOW
1.1,38,LOW
1.2,52,LOW
1.3,122,LOW
1.5,9,LOW
1.7,23,LOW
1.8,45,LOW
1.9,794,LOW
2.0,906,LOW
2.1,3074,LOW
2.2,42,LOW
2.3,280,LOW
2.4,227,LOW
2.5,81,LOW
2.6,352,LOW
2.7,394,LOW
2.8,49,LOW
2.9,207,LOW
3.0,21,LOW
3.1,226,LOW
3.2,53,LOW
3.3,1738,LOW
3.4,68,LOW
3.5,1225,LOW
3.6,136,LOW
3.7,429,LOW
3.8,157,LOW
3.9,80,LOW
4.0,1003,MEDIUM
4.1,199,MEDIUM
4.2,235,MEDIUM
4.3,14740,MEDIUM
4.4,1544,MEDIUM
4.5,100,MEDIUM
4.6,1020,MEDIUM
4.7,1475,MEDIUM
4.8,4472,MEDIUM
4.9,1863,MEDIUM
5.0,5201,MEDIUM
5.1,1766,MEDIUM
5.2,149,MEDIUM
5.3,10601,MEDIUM
5.4,14345,MEDIUM
5.5,17180,MEDIUM
5.6,227,MEDIUM
5.7,552,MEDIUM
5.8,900,MEDIUM
5.9,2767,MEDIUM
6.0,710,MEDIUM
6.1,14386,MEDIUM
6.2,452,MEDIUM
6.3,1207,MEDIUM
6.4,2126,MEDIUM
6.5,16122,MEDIUM
6.6,542,MEDIUM
6.7,2217,MEDIUM
6.8,5590,MEDIUM
6.9,3330,MEDIUM
7.0,1660,HIGH
7.1,4998,HIGH
7.2,5570,HIGH
7.3,1527,HIGH
7.4,1639,HIGH
7.5,30164,HIGH
7.6,701,HIGH
7.7,598,HIGH
7.8,23143,HIGH
7.9,82,HIGH
8.0,901,HIGH
8.1,4027,HIGH
8.2,1035,HIGH
8.3,378,HIGH
8.4,735,HIGH
8.5,862,HIGH
8.6,1318,HIGH
8.7,1660,HIGH
8.8,21181,HIGH
8.9,199,HIGH
9.0,698,CRITICAL
9.1,2400,CRITICAL
9.2,141,CRITICAL
9.3,5008,CRITICAL
9.4,337,CRITICAL
9.5,49,CRITICAL
9.6,534,CRITICAL
9.7,3,CRITICAL
9.8,25631,CRITICAL
9.9,585,CRITICAL
10.0,3187,CRITICAL
