prioridade,cwe_id,cwe_nome_curto,cwe_label,cves_count,cvss_medio,high_critical_pct,score_risco
1,CWE-89,SQL Injection,CWE-89 - SQL Injection,17467,7.71,71.84,0.327
2,CWE-787,Out-of-bounds Write,CWE-787 - Out-of-bounds Write,13192,7.94,81.27,0.2543
3,CWE-119,Buffer Overflow,CWE-119 - Buffer Overflow,13229,7.9,75.92,0.254
4,CWE-416,Use After Free,CWE-416 - Use After Free,6418,7.81,82.81,0.1217
5,CWE-78,OS Command Injection,CWE-78 - OS Command Injection,5035,8.42,87.81,0.103
6,CWE-287,Improper Authentication,CWE-287 - Improper Authentication,3974,7.59,65.1,0.0733
7,CWE-434,Unrestricted File Upload,CWE-434 - Unrestricted File Upload,3692,8.15,80.93,0.0731
8,CWE-120,Classic Buffer Overflow,CWE-120 - Classic Buffer Overflow,3697,7.87,77.14,0.0707
9,CWE-77,Command Injection,CWE-77 - Command Injection,2883,7.85,73.88,0.055
10,CWE-190,Integer Overflow,CWE-190 - Integer Overflow,2882,7.58,75.47,0.0531
11,CWE-121,Stack-based Buffer Overflow,CWE-121 - Stack-based Buffer Overflow,2687,8.01,85.11,0.0523
12,CWE-502,Deserialization,CWE-502 - Deserialization,2280,8.55,90.13,0.0474
13,CWE-269,Improper Privilege Management,CWE-269 - Improper Privilege Management,2473,7.61,75.78,0.0457
14,CWE-306,Missing Authentication,CWE-306 - Missing Authentication,1871,7.98,75.47,0.0363
15,CWE-122,Heap-based Buffer Overflow,CWE-122 - Heap-based Buffer Overflow,1829,7.81,84.53,0.0347
16,CWE-798,Hard-coded Credentials,CWE-798 - Hard-coded Credentials,1570,8.38,82.61,0.032
17,CWE-611,XXE,CWE-611 - XXE,1188,7.58,69.28,0.0219
18,CWE-98,CWE-98,CWE-98,721,8.05,96.26,0.0141
19,CWE-843,CWE-843,CWE-843,680,8.06,83.53,0.0133
20,CWE-415,CWE-415,CWE-415,699,7.66,78.68,0.013
21,CWE-426,CWE-426,CWE-426,582,7.62,88.83,0.0108
22,CWE-129,CWE-129,CWE-129,517,7.72,81.43,0.0097
23,CWE-307,CWE-307,CWE-307,491,7.74,68.43,0.0092
24,CWE-1321,CWE-1321,CWE-1321,423,8.45,81.8,0.0087
25,CWE-288,CWE-288,CWE-288,421,8.44,82.19,0.0086
26,CWE-134,CWE-134,CWE-134,366,7.57,69.4,0.0067
27,CWE-88,CWE-88,CWE-88,282,7.84,74.47,0.0054
28,CWE-1236,CWE-1236,CWE-1236,274,7.81,76.64,0.0052
29,CWE-250,CWE-250,CWE-250,265,7.76,78.11,0.005
30,CWE-704,CWE-704,CWE-704,244,8.07,86.89,0.0048
31,CWE-521,CWE-521,CWE-521,243,7.93,73.66,0.0047
32,CWE-640,CWE-640,CWE-640,231,8.0,77.49,0.0045
33,CWE-1188,CWE-1188,CWE-1188,232,7.7,67.67,0.0043
34,CWE-917,CWE-917,CWE-917,173,8.92,94.22,0.0037
35,CWE-829,CWE-829,CWE-829,184,7.89,77.72,0.0035
36,CWE-494,CWE-494,CWE-494,177,7.81,77.97,0.0034
37,CWE-822,CWE-822,CWE-822,163,7.58,82.82,0.003
38,CWE-131,CWE-131,CWE-131,153,7.58,71.9,0.0028
39,CWE-788,CWE-788,CWE-788,143,7.63,90.91,0.0027
40,CWE-749,CWE-749,CWE-749,138,7.85,74.64,0.0026
41,CWE-305,CWE-305,CWE-305,116,7.65,68.97,0.0022
42,CWE-91,CWE-91,CWE-91,111,7.68,75.68,0.0021
43,CWE-680,CWE-680,CWE-680,101,8.23,90.1,0.002
44,CWE-95,CWE-95,CWE-95,98,8.43,88.78,0.002
45,CWE-1336,CWE-1336,CWE-1336,103,7.59,71.84,0.0019
46,CWE-506,CWE-506,CWE-506,73,7.94,95.89,0.0014
47,CWE-1392,CWE-1392,CWE-1392,75,7.57,70.67,0.0014
48,CWE-913,CWE-913,CWE-913,73,7.72,75.34,0.0014
49,CWE-489,CWE-489,CWE-489,71,7.74,67.61,0.0013
50,CWE-303,CWE-303,CWE-303,70,7.7,65.71,0.0013
51,CWE-912,CWE-912,CWE-912,67,7.75,67.16,0.0013
52,CWE-620,CWE-620,CWE-620,67,7.75,67.16,0.0013
53,CWE-565,CWE-565,CWE-565,66,7.54,62.12,0.0012
