pct_cwes_acumulado,pct_cves_acumulado,linha_igualdade
0.0,0.0,0.0
0.134,0.0,0.134
0.267,0.001,0.267
0.401,0.001,0.401
0.534,0.001,0.534
0.668,0.002,0.668
0.801,0.002,0.801
0.935,0.003,0.935
1.068,0.003,1.068
1.202,0.003,1.202
1.335,0.004,1.335
1.469,0.004,1.469
1.602,0.004,1.602
1.736,0.005,1.736
1.869,0.005,1.869
2.003,0.005,2.003
2.136,0.006,2.136
2.27,0.006,2.27
2.403,0.006,2.403
2.537,0.007,2.537
2.67,0.007,2.67
2.804,0.008,2.804
2.937,0.008,2.937
3.071,0.008,3.071
3.204,0.009,3.204
3.338,0.009,3.338
3.471,0.009,3.471
3.605,0.01,3.605
3.738,0.01,3.738
3.872,0.01,3.872
4.005,0.011,4.005
4.139,0.011,4.139
4.272,0.011,4.272
4.406,0.012,4.406
4.539,0.012,4.539
4.673,0.013,4.673
4.806,0.013,4.806
4.94,0.013,4.94
5.073,0.014,5.073
5.207,0.014,5.207
5.34,0.014,5.34
5.474,0.015,5.474
5.607,0.015,5.607
5.741,0.015,5.741
5.874,0.016,5.874
6.008,0.016,6.008
6.142,0.016,6.142
6.275,0.017,6.275
6.409,0.017,6.409
6.542,0.018,6.542
6.676,0.018,6.676
6.809,0.018,6.809
6.943,0.019,6.943
7.076,0.019,7.076
7.21,0.019,7.21
7.343,0.02,7.343
7.477,0.02,7.477
7.61,0.02,7.61
7.744,0.021,7.744
7.877,0.021,7.877
8.011,0.022,8.011
8.144,0.022,8.144
8.278,0.022,8.278
8.411,0.023,8.411
8.545,0.023,8.545
8.678,0.023,8.678
8.812,0.024,8.812
8.945,0.024,8.945
9.079,0.024,9.079
9.212,0.025,9.212
9.346,0.025,9.346
9.479,0.025,9.479
9.613,0.026,9.613
9.746,0.026,9.746
9.88,0.027,9.88
10.013,0.027,10.013
10.147,0.027,10.147
10.28,0.028,10.28
10.414,0.028,10.414
10.547,0.028,10.547
10.681,0.029,10.681
10.814,0.029,10.814
10.948,0.029,10.948
11.081,0.03,11.081
11.215,0.03,11.215
11.348,0.03,11.348
11.482,0.031,11.482
11.615,0.031,11.615
11.749,0.032,11.749
11.883,0.032,11.883
12.016,0.032,12.016
12.15,0.033,12.15
12.283,0.033,12.283
12.417,0.033,12.417
12.55,0.034,12.55
12.684,0.034,12.684
12.817,0.034,12.817
12.951,0.035,12.951
13.084,0.035,13.084
13.218,0.035,13.218
13.351,0.036,13.351
13.485,0.036,13.485
13.618,0.037,13.618
13.752,0.038,13.752
13.885,0.038,13.885
14.019,0.039,14.019
14.152,0.04,14.152
14.286,0.041,14.286
14.419,0.041,14.419
14.553,0.042,14.553
14.686,0.043,14.686
14.82,0.043,14.82
14.953,0.044,14.953
15.087,0.045,15.087
15.22,0.046,15.22
15.354,0.046,15.354
15.487,0.047,15.487
15.621,0.048,15.621
15.754,0.048,15.754
15.888,0.049,15.888
16.021,0.05,16.021
16.155,0.051,16.155
16.288,0.051,16.288
16.422,0.052,16.422
16.555,0.053,16.555
16.689,0.053,16.689
16.822,0.054,16.822
16.956,0.055,16.956
17.089,0.056,17.089
17.223,0.056,17.223
17.356,0.057,17.356
17.49,0.058,17.49
17.623,0.058,17.623
17.757,0.059,17.757
17.891,0.06,17.891
18.024,0.061,18.024
18.158,0.061,18.158
18.291,0.062,18.291
18.425,0.063,18.425
18.558,0.063,18.558
18.692,0.064,18.692
18.825,0.065,18.825
18.959,0.066,18.959
19.092,0.066,19.092
19.226,0.067,19.226
19.359,0.068,19.359
19.493,0.068,19.493
19.626,0.069,19.626
19.76,0.07,19.76
19.893,0.071,19.893
20.027,0.071,20.027
20.16,0.072,20.16
20.294,0.073,20.294
20.427,0.073,20.427
20.561,0.074,20.561
20.694,0.075,20.694
20.828,0.076,20.828
20.961,0.076,20.961
21.095,0.077,21.095
21.228,0.078,21.228
21.362,0.079,21.362
21.495,0.079,21.495
21.629,0.08,21.629
21.762,0.081,21.762
21.896,0.081,21.896
22.029,0.082,22.029
22.163,0.083,22.163
22.296,0.084,22.296
22.43,0.084,22.43
22.563,0.085,22.563
22.697,0.086,22.697
22.83,0.086,22.83
22.964,0.087,22.964
23.097,0.088,23.097
23.231,0.089,23.231
23.364,0.09,23.364
23.498,0.091,23.498
23.632,0.092,23.632
23.765,0.093,23.765
23.899,0.094,23.899
24.032,0.095,24.032
24.166,0.096,24.166
24.299,0.097,24.299
24.433,0.098,24.433
24.566,0.099,24.566
24.7,0.1,24.7
24.833,0.101,24.833
24.967,0.103,24.967
25.1,0.104,25.1
