cwe_id,cves_count,rank_freq,pct_acumulado,cwe_nome_curto,cwe_label,pct_do_total,in_pareto80,top30
CWE-79,41171,1,14.76,XSS,CWE-79 - XSS,14.761,True,True
CWE-89,17467,2,21.02,SQL Injection,CWE-89 - SQL Injection,6.263,True,True
CWE-119,13229,3,25.77,Buffer Overflow,CWE-119 - Buffer Overflow,4.743,True,True
CWE-787,13192,4,30.5,Out-of-bounds Write,CWE-787 - Out-of-bounds Write,4.73,True,True
CWE-20,11653,5,34.67,Improper Input Validation,CWE-20 - Improper Input Validation,4.178,True,True
CWE-200,9468,6,38.07,Information Exposure,CWE-200 - Information Exposure,3.395,True,True
CWE-352,8744,7,41.2,CSRF,CWE-352 - CSRF,3.135,True,True
CWE-125,8030,8,44.08,Out-of-bounds Read,CWE-125 - Out-of-bounds Read,2.879,True,True
CWE-22,7952,9,46.93,Path Traversal,CWE-22 - Path Traversal,2.851,True,True
CWE-862,6482,10,49.26,Missing Authorization,CWE-862 - Missing Authorization,2.324,True,True
CWE-416,6418,11,51.56,Use After Free,CWE-416 - Use After Free,2.301,True,True
CWE-94,5579,12,53.56,Code Injection,CWE-94 - Code Injection,2.0,True,True
CWE-264,5469,13,55.52,Permissions/Privileges,CWE-264 - Permissions/Privileges,1.961,True,True
CWE-78,5035,14,57.33,OS Command Injection,CWE-78 - OS Command Injection,1.805,True,True
CWE-476,4723,15,59.02,NULL Pointer Dereference,CWE-476 - NULL Pointer Dereference,1.693,True,True
CWE-284,4265,16,60.55,Improper Access Control,CWE-284 - Improper Access Control,1.529,True,True
CWE-287,3974,17,61.97,Improper Authentication,CWE-287 - Improper Authentication,1.425,True,True
CWE-74,3814,18,63.34,Injection (umbrella),CWE-74 - Injection (umbrella),1.367,True,True
CWE-120,3697,19,64.67,Classic Buffer Overflow,CWE-120 - Classic Buffer Overflow,1.326,True,True
CWE-434,3692,20,65.99,Unrestricted File Upload,CWE-434 - Unrestricted File Upload,1.324,True,True
CWE-77,2883,21,67.02,Command Injection,CWE-77 - Command Injection,1.034,True,True
CWE-190,2882,22,68.06,Integer Overflow,CWE-190 - Integer Overflow,1.033,True,True
CWE-399,2694,23,69.02,Resource Management Errors,CWE-399 - Resource Management Errors,0.966,True,True
CWE-121,2687,24,69.99,Stack-based Buffer Overflow,CWE-121 - Stack-based Buffer Overflow,0.963,True,True
CWE-400,2641,25,70.93,Uncontrolled Resource Consumption,CWE-400 - Uncontrolled Resource Consumption,0.947,True,True
CWE-310,2500,26,71.83,Cryptographic Issues,CWE-310 - Cryptographic Issues,0.896,True,True
CWE-269,2473,27,72.72,Improper Privilege Management,CWE-269 - Improper Privilege Management,0.887,True,True
CWE-863,2422,28,73.58,Incorrect Authorization,CWE-863 - Incorrect Authorization,0.868,True,True
CWE-502,2280,29,74.4,Deserialization,CWE-502 - Deserialization,0.817,True,True
CWE-362,2080,30,75.15,Race Condition,CWE-362 - Race Condition,0.746,True,True
CWE-918,1922,31,75.84,SSRF,CWE-918 - SSRF,0.689,True,False
CWE-306,1871,32,76.51,Missing Authentication,CWE-306 - Missing Authentication,0.671,True,False
CWE-122,1829,33,77.16,Heap-based Buffer Overflow,CWE-122 - Heap-based Buffer Overflow,0.656,True,False
CWE-798,1570,34,77.73,Hard-coded Credentials,CWE-798 - Hard-coded Credentials,0.563,True,False
CWE-732,1544,35,78.28,Incorrect Permission Assignment,CWE-732 - Incorrect Permission Assignment,0.554,True,False
CWE-401,1524,36,78.83,Memory Leak,CWE-401 - Memory Leak,0.546,True,False
CWE-276,1420,37,79.34,Incorrect Default Permissions,CWE-276 - Incorrect Default Permissions,0.509,True,False
CWE-770,1417,38,79.84,Allocation Without Limits,CWE-770 - Allocation Without Limits,0.508,True,False
CWE-59,1375,39,80.34,Link Following,CWE-59 - Link Following,0.493,False,False
CWE-601,1326,40,80.81,Open Redirect,CWE-601 - Open Redirect,0.475,False,False
CWE-522,1246,41,81.26,Insufficiently Protected Credentials,CWE-522 - Insufficiently Protected Credentials,0.447,False,False
CWE-189,1229,42,81.7,Numeric Errors,CWE-189 - Numeric Errors,0.441,False,False
CWE-295,1229,43,82.14,Improper Certificate Validation,CWE-295 - Improper Certificate Validation,0.441,False,False
CWE-639,1189,44,82.57,IDOR,CWE-639 - IDOR,0.426,False,False
CWE-611,1188,45,82.99,XXE,CWE-611 - XXE,0.426,False,False
CWE-427,1043,46,83.37,DLL Hijacking,CWE-427 - DLL Hijacking,0.374,False,False
CWE-532,1024,47,83.73,Sensitive Info in Log,CWE-532 - Sensitive Info in Log,0.367,False,False
CWE-285,1019,48,84.1,Improper Authorization,CWE-285 - Improper Authorization,0.365,False,False
CWE-319,798,49,84.38,Cleartext Transmission,CWE-319 - Cleartext Transmission,0.286,False,False
