ano_atual,transicao,jaccard,n_entrantes,n_saidas
2000,1999 → 2000,0.333,10,10
2001,2000 → 2001,0.29,11,11
2002,2001 → 2002,0.333,10,10
2003,2002 → 2003,0.739,3,3
2004,2003 → 2004,0.6,5,5
2005,2004 → 2005,0.429,8,8
2006,2005 → 2006,0.429,8,8
2007,2006 → 2007,0.739,3,3
2008,2007 → 2008,0.905,1,1
2009,2008 → 2009,0.905,1,1
2010,2009 → 2010,0.739,3,3
2011,2010 → 2011,0.818,2,2
2012,2011 → 2012,0.739,3,3
2013,2012 → 2013,0.905,1,1
2014,2013 → 2014,0.818,2,2
2015,2014 → 2015,0.6,5,5
2016,2015 → 2016,0.6,5,5
2017,2016 → 2017,0.481,7,7
2018,2017 → 2018,0.739,3,3
2019,2018 → 2019,0.667,4,4
2020,2019 → 2020,0.667,4,4
2021,2020 → 2021,0.739,3,3
2022,2021 → 2022,0.667,4,4
2023,2022 → 2023,0.667,4,4
2024,2023 → 2024,0.818,2,2
2025,2024 → 2025,0.818,2,2
