cwe_id,ano,cves_count,cwe_nome_curto,cwe_label,is_top10
CWE-1,2016,2,CWE-1,CWE-1,False
CWE-1004,2019,2,CWE-1004,CWE-1004,False
CWE-1004,2020,2,CWE-1004,CWE-1004,False
CWE-1004,2021,4,CWE-1004,CWE-1004,False
CWE-1004,2022,5,CWE-1004,CWE-1004,False
CWE-1004,2023,3,CWE-1004,CWE-1004,False
CWE-1004,2024,3,CWE-1004,CWE-1004,False
CWE-1004,2025,11,CWE-1004,CWE-1004,False
CWE-1007,2021,1,CWE-1007,CWE-1007,False
CWE-1007,2025,2,CWE-1007,CWE-1007,False
CWE-1018,2023,1,CWE-1018,CWE-1018,False
CWE-1018,2025,1,CWE-1018,CWE-1018,False
CWE-102,2022,1,CWE-102,CWE-102,False
CWE-1021,2005,1,CWE-1021,CWE-1021,False
CWE-1021,2008,1,CWE-1021,CWE-1021,False
CWE-1021,2011,1,CWE-1021,CWE-1021,False
CWE-1021,2013,5,CWE-1021,CWE-1021,False
CWE-1021,2014,2,CWE-1021,CWE-1021,False
CWE-1021,2015,2,CWE-1021,CWE-1021,False
CWE-1021,2016,2,CWE-1021,CWE-1021,False
CWE-1021,2017,9,CWE-1021,CWE-1021,False
CWE-1021,2018,15,CWE-1021,CWE-1021,False
CWE-1021,2019,27,CWE-1021,CWE-1021,False
CWE-1021,2020,43,CWE-1021,CWE-1021,False
CWE-1021,2021,76,CWE-1021,CWE-1021,False
CWE-1021,2022,54,CWE-1021,CWE-1021,False
CWE-1021,2023,33,CWE-1021,CWE-1021,False
CWE-1021,2024,40,CWE-1021,CWE-1021,False
CWE-1021,2025,50,CWE-1021,CWE-1021,False
CWE-1022,2018,2,CWE-1022,CWE-1022,False
CWE-1022,2020,1,CWE-1022,CWE-1022,False
CWE-1022,2021,2,CWE-1022,CWE-1022,False
CWE-1022,2022,3,CWE-1022,CWE-1022,False
CWE-1022,2024,1,CWE-1022,CWE-1022,False
CWE-1022,2025,3,CWE-1022,CWE-1022,False
CWE-1023,2021,1,CWE-1023,CWE-1023,False
CWE-1023,2024,1,CWE-1023,CWE-1023,False
CWE-1023,2025,3,CWE-1023,CWE-1023,False
CWE-1024,2019,1,CWE-1024,CWE-1024,False
CWE-1024,2020,1,CWE-1024,CWE-1024,False
CWE-1025,2024,1,CWE-1025,CWE-1025,False
CWE-1025,2025,5,CWE-1025,CWE-1025,False
CWE-1026,2022,1,CWE-1026,CWE-1026,False
CWE-1027,2021,1,CWE-1027,CWE-1027,False
CWE-1032,2025,3,CWE-1032,CWE-1032,False
CWE-1037,2024,2,CWE-1037,CWE-1037,False
CWE-1037,2025,3,CWE-1037,CWE-1037,False
CWE-1038,2022,2,CWE-1038,CWE-1038,False
CWE-1038,2023,3,CWE-1038,CWE-1038,False
CWE-1038,2025,1,CWE-1038,CWE-1038,False
CWE-1039,2023,1,CWE-1039,CWE-1039,False
CWE-1039,2025,2,CWE-1039,CWE-1039,False
CWE-1049,2019,1,CWE-1049,CWE-1049,False
CWE-1049,2023,1,CWE-1049,CWE-1049,False
CWE-1049,2025,1,CWE-1049,CWE-1049,False
CWE-1050,2019,1,CWE-1050,CWE-1050,False
CWE-1050,2021,1,CWE-1050,CWE-1050,False
CWE-1050,2023,1,CWE-1050,CWE-1050,False
CWE-1050,2024,1,CWE-1050,CWE-1050,False
CWE-1050,2025,3,CWE-1050,CWE-1050,False
CWE-1051,2024,1,CWE-1051,CWE-1051,False
CWE-1055,2024,1,CWE-1055,CWE-1055,False
CWE-1056,2020,1,CWE-1056,CWE-1056,False
CWE-1057,2024,1,CWE-1057,CWE-1057,False
CWE-1059,2022,1,CWE-1059,CWE-1059,False
CWE-1068,2024,2,CWE-1068,CWE-1068,False
CWE-1068,2025,1,CWE-1068,CWE-1068,False
CWE-1076,2021,1,CWE-1076,CWE-1076,False
CWE-1076,2023,1,CWE-1076,CWE-1076,False
CWE-1077,2022,1,CWE-1077,CWE-1077,False
CWE-1077,2023,3,CWE-1077,CWE-1077,False
CWE-1078,2024,1,CWE-1078,CWE-1078,False
CWE-1083,2022,1,CWE-1083,CWE-1083,False
CWE-1088,2020,1,CWE-1088,CWE-1088,False
CWE-1088,2024,3,CWE-1088,CWE-1088,False
CWE-1088,2025,1,CWE-1088,CWE-1088,False
CWE-11,2021,1,CWE-11,CWE-11,False
CWE-11,2024,1,CWE-11,CWE-11,False
CWE-1100,2024,1,CWE-1100,CWE-1100,False
CWE-1100,2025,1,CWE-1100,CWE-1100,False
CWE-1102,2025,1,CWE-1102,CWE-1102,False
CWE-1103,2020,1,CWE-1103,CWE-1103,False
CWE-1103,2023,1,CWE-1103,CWE-1103,False
CWE-1104,2021,1,CWE-1104,CWE-1104,False
CWE-1104,2022,1,CWE-1104,CWE-1104,False
CWE-1104,2023,1,CWE-1104,CWE-1104,False
CWE-1104,2024,4,CWE-1104,CWE-1104,False
CWE-1104,2025,9,CWE-1104,CWE-1104,False
CWE-1106,2024,1,CWE-1106,CWE-1106,False
CWE-1107,2024,2,CWE-1107,CWE-1107,False
CWE-1108,2022,1,CWE-1108,CWE-1108,False
CWE-1108,2024,1,CWE-1108,CWE-1108,False
CWE-111,2016,1,CWE-111,CWE-111,False
CWE-111,2018,1,CWE-111,CWE-111,False
CWE-1112,2023,1,CWE-1112,CWE-1112,False
CWE-1112,2025,1,CWE-1112,CWE-1112,False
CWE-1116,2022,2,CWE-1116,CWE-1116,False
CWE-1116,2025,2,CWE-1116,CWE-1116,False
CWE-1118,2022,1,CWE-1118,CWE-1118,False
CWE-112,2020,2,CWE-112,CWE-112,False
CWE-112,2021,2,CWE-112,CWE-112,False
CWE-112,2022,1,CWE-112,CWE-112,False
CWE-112,2023,1,CWE-112,CWE-112,False
CWE-1125,2022,2,CWE-1125,CWE-1125,False
CWE-1125,2023,2,CWE-1125,CWE-1125,False
CWE-113,2007,1,CWE-113,CWE-113,False
CWE-113,2015,2,CWE-113,CWE-113,False
CWE-113,2016,5,CWE-113,CWE-113,False
CWE-113,2017,6,CWE-113,CWE-113,False
CWE-113,2018,9,CWE-113,CWE-113,False
CWE-113,2019,3,CWE-113,CWE-113,False
CWE-113,2020,5,CWE-113,CWE-113,False
CWE-113,2021,2,CWE-113,CWE-113,False
CWE-113,2022,7,CWE-113,CWE-113,False
CWE-113,2023,9,CWE-113,CWE-113,False
CWE-113,2024,8,CWE-113,CWE-113,False
CWE-113,2025,11,CWE-113,CWE-113,False
CWE-114,2019,3,CWE-114,CWE-114,False
CWE-114,2020,5,CWE-114,CWE-114,False
CWE-114,2021,1,CWE-114,CWE-114,False
CWE-114,2022,1,CWE-114,CWE-114,False
CWE-114,2023,2,CWE-114,CWE-114,False
CWE-114,2024,6,CWE-114,CWE-114,False
CWE-114,2025,6,CWE-114,CWE-114,False
CWE-115,2018,3,CWE-115,CWE-115,False
CWE-115,2020,4,CWE-115,CWE-115,False
CWE-115,2021,3,CWE-115,CWE-115,False
CWE-115,2022,4,CWE-115,CWE-115,False
CWE-115,2023,3,CWE-115,CWE-115,False
CWE-115,2024,1,CWE-115,CWE-115,False
CWE-115,2025,8,CWE-115,CWE-115,False
CWE-116,2009,1,CWE-116,CWE-116,False
CWE-116,2013,2,CWE-116,CWE-116,False
CWE-116,2014,1,CWE-116,CWE-116,False
CWE-116,2015,2,CWE-116,CWE-116,False
CWE-116,2016,2,CWE-116,CWE-116,False
CWE-116,2017,4,CWE-116,CWE-116,False
CWE-116,2018,10,CWE-116,CWE-116,False
CWE-116,2019,21,CWE-116,CWE-116,False
CWE-116,2020,24,CWE-116,CWE-116,False
CWE-116,2021,46,CWE-116,CWE-116,False
CWE-116,2022,57,CWE-116,CWE-116,False
CWE-116,2023,59,CWE-116,CWE-116,False
CWE-116,2024,63,CWE-116,CWE-116,False
CWE-116,2025,55,CWE-116,CWE-116,False
CWE-1164,2025,1,CWE-1164,CWE-1164,False
CWE-117,2015,1,CWE-117,CWE-117,False
CWE-117,2018,1,CWE-117,CWE-117,False
CWE-117,2019,5,CWE-117,CWE-117,False
CWE-117,2020,4,CWE-117,CWE-117,False
CWE-117,2021,5,CWE-117,CWE-117,False
CWE-117,2022,3,CWE-117,CWE-117,False
CWE-117,2023,18,CWE-117,CWE-117,False
CWE-117,2024,25,CWE-117,CWE-117,False
CWE-117,2025,23,CWE-117,CWE-117,False
CWE-1173,2020,1,CWE-1173,CWE-1173,False
CWE-1173,2022,1,CWE-1173,CWE-1173,False
CWE-1173,2023,2,CWE-1173,CWE-1173,False
CWE-1173,2025,2,CWE-1173,CWE-1173,False
CWE-1174,2023,1,CWE-1174,CWE-1174,False
CWE-1176,2024,1,CWE-1176,CWE-1176,False
CWE-1176,2025,1,CWE-1176,CWE-1176,False
CWE-118,2014,1,CWE-118,CWE-118,False
CWE-118,2015,6,CWE-118,CWE-118,False
CWE-118,2016,1,CWE-118,CWE-118,False
CWE-118,2017,3,CWE-118,CWE-118,False
CWE-118,2018,1,CWE-118,CWE-118,False
CWE-118,2019,1,CWE-118,CWE-118,False
CWE-118,2020,2,CWE-118,CWE-118,False
CWE-118,2022,2,CWE-118,CWE-118,False
CWE-118,2023,4,CWE-118,CWE-118,False
CWE-118,2024,1,CWE-118,CWE-118,False
CWE-118,2025,2,CWE-118,CWE-118,False
CWE-1187,2017,2,CWE-1187,CWE-1187,False
CWE-1187,2019,1,CWE-1187,CWE-1187,False
CWE-1188,2008,1,CWE-1188,CWE-1188,False
CWE-1188,2010,1,CWE-1188,CWE-1188,False
CWE-1188,2014,1,CWE-1188,CWE-1188,False
CWE-1188,2017,20,CWE-1188,CWE-1188,False
CWE-1188,2018,22,CWE-1188,CWE-1188,False
CWE-1188,2019,29,CWE-1188,CWE-1188,False
CWE-1188,2020,27,CWE-1188,CWE-1188,False
CWE-1188,2021,20,CWE-1188,CWE-1188,False
CWE-1188,2022,24,CWE-1188,CWE-1188,False
CWE-1188,2023,14,CWE-1188,CWE-1188,False
CWE-1188,2024,29,CWE-1188,CWE-1188,False
CWE-1188,2025,44,CWE-1188,CWE-1188,False
CWE-1189,2023,3,CWE-1189,CWE-1189,False
CWE-119,1999,7,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2000,1,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2001,10,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2002,42,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2003,55,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2004,26,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2005,69,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2006,151,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2007,484,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2008,576,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2009,550,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2010,521,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2011,638,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2012,659,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2013,750,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2014,825,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2015,1087,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2016,1257,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2017,2004,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2018,840,Buffer Overflow,CWE-119 - Buffer Overflow,True
CWE-119,2019,252,Buffer Overflow,CWE-119 - Buffer Overflow,True
