cwe_id,cves_count,cvss_medio,rank_severity,high_critical_pct,cwe_nome_curto,cwe_label,faixa_cvss_medio,top30_cvss
CWE-730,2,10.0,1,100.0,CWE-730,CWE-730,CRITICAL,True
CWE-1301,1,10.0,2,100.0,CWE-1301,CWE-1301,CRITICAL,True
CWE-370,1,10.0,3,100.0,CWE-370,CWE-370,CRITICAL,True
CWE-507,1,9.8,4,100.0,CWE-507,CWE-507,CRITICAL,True
CWE-1059,1,9.8,5,100.0,CWE-1059,CWE-1059,CRITICAL,True
CWE-509,1,9.8,6,100.0,CWE-509,CWE-509,CRITICAL,True
CWE-293,1,9.8,7,100.0,CWE-293,CWE-293,CRITICAL,True
CWE-1,2,9.8,8,100.0,CWE-1,CWE-1,CRITICAL,True
CWE-621,1,9.8,9,100.0,CWE-621,CWE-621,CRITICAL,True
CWE-468,2,9.8,10,100.0,CWE-468,CWE-468,CRITICAL,True
CWE-1056,1,9.8,11,100.0,CWE-1056,CWE-1056,CRITICAL,True
CWE-44,1,9.8,12,100.0,CWE-44,CWE-44,CRITICAL,True
CWE-12,1,9.8,13,100.0,CWE-12,CWE-12,CRITICAL,True
CWE-66,1,9.8,14,100.0,CWE-66,CWE-66,CRITICAL,True
CWE-157,1,9.8,15,100.0,CWE-157,CWE-157,CRITICAL,True
CWE-69,2,9.3,16,100.0,CWE-69,CWE-69,CRITICAL,True
CWE-43,1,9.3,17,100.0,CWE-43,CWE-43,CRITICAL,True
CWE-187,4,8.95,18,75.0,CWE-187,CWE-187,HIGH,True
CWE-111,2,8.95,19,100.0,CWE-111,CWE-111,HIGH,True
CWE-917,173,8.92,20,94.22,CWE-917,CWE-917,HIGH,True
CWE-153,4,8.9,21,100.0,CWE-153,CWE-153,HIGH,True
CWE-1222,1,8.8,22,100.0,CWE-1222,CWE-1222,HIGH,True
CWE-1265,1,8.8,23,100.0,CWE-1265,CWE-1265,HIGH,True
CWE-263,1,8.8,24,100.0,CWE-263,CWE-263,HIGH,True
CWE-485,1,8.8,25,100.0,CWE-485,CWE-485,HIGH,True
CWE-1027,1,8.8,26,100.0,CWE-1027,CWE-1027,HIGH,True
CWE-422,2,8.8,27,100.0,CWE-422,CWE-422,HIGH,True
CWE-482,1,8.8,28,100.0,CWE-482,CWE-482,HIGH,True
CWE-374,1,8.8,29,100.0,CWE-374,CWE-374,HIGH,True
CWE-6,1,8.8,30,100.0,CWE-6,CWE-6,HIGH,True
CWE-1055,1,8.8,31,100.0,CWE-1055,CWE-1055,HIGH,False
CWE-702,1,8.7,32,100.0,CWE-702,CWE-702,HIGH,False
CWE-198,1,8.7,33,100.0,CWE-198,CWE-198,HIGH,False
CWE-1224,1,8.7,34,100.0,CWE-1224,CWE-1224,HIGH,False
CWE-698,10,8.67,35,80.0,CWE-698,CWE-698,HIGH,False
CWE-588,2,8.65,36,100.0,CWE-588,CWE-588,HIGH,False
CWE-882,1,8.6,37,100.0,CWE-882,CWE-882,HIGH,False
CWE-477,15,8.57,38,86.67,CWE-477,CWE-477,HIGH,False
CWE-502,2280,8.55,39,90.13,Deserialization,CWE-502 - Deserialization,HIGH,False
CWE-1125,4,8.52,40,75.0,CWE-1125,CWE-1125,HIGH,False
CWE-141,8,8.51,41,75.0,CWE-141,CWE-141,HIGH,False
CWE-597,3,8.5,42,66.67,CWE-597,CWE-597,HIGH,False
CWE-403,4,8.48,43,100.0,CWE-403,CWE-403,HIGH,False
CWE-235,2,8.45,44,100.0,CWE-235,CWE-235,HIGH,False
CWE-1321,423,8.45,45,81.8,CWE-1321,CWE-1321,HIGH,False
CWE-288,421,8.44,46,82.19,CWE-288,CWE-288,HIGH,False
CWE-391,23,8.43,47,73.91,CWE-391,CWE-391,HIGH,False
CWE-95,98,8.43,48,88.78,CWE-95,CWE-95,HIGH,False
CWE-78,5035,8.42,49,87.81,OS Command Injection,CWE-78 - OS Command Injection,HIGH,False
CWE-465,2,8.4,50,100.0,CWE-465,CWE-465,HIGH,False
CWE-128,2,8.4,51,100.0,CWE-128,CWE-128,HIGH,False
CWE-242,9,8.39,52,100.0,CWE-242,CWE-242,HIGH,False
CWE-798,1570,8.38,53,82.61,Hard-coded Credentials,CWE-798 - Hard-coded Credentials,HIGH,False
CWE-1104,16,8.34,54,87.5,CWE-1104,CWE-1104,HIGH,False
CWE-603,16,8.34,55,81.25,CWE-603,CWE-603,HIGH,False
CWE-836,12,8.34,56,91.67,CWE-836,CWE-836,HIGH,False
CWE-1118,1,8.3,57,100.0,CWE-1118,CWE-1118,HIGH,False
CWE-1329,2,8.3,58,50.0,CWE-1329,CWE-1329,HIGH,False
CWE-1357,4,8.25,59,100.0,CWE-1357,CWE-1357,HIGH,False
CWE-680,101,8.23,60,90.1,CWE-680,CWE-680,HIGH,False
CWE-1319,6,8.22,61,66.67,CWE-1319,CWE-1319,HIGH,False
CWE-1291,1,8.2,62,100.0,CWE-1291,CWE-1291,HIGH,False
CWE-430,1,8.2,63,100.0,CWE-430,CWE-430,HIGH,False
CWE-675,2,8.2,64,100.0,CWE-675,CWE-675,HIGH,False
CWE-491,4,8.18,65,75.0,CWE-491,CWE-491,HIGH,False
CWE-470,44,8.17,66,81.82,CWE-470,CWE-470,HIGH,False
CWE-434,3692,8.15,67,80.93,Unrestricted File Upload,CWE-434 - Unrestricted File Upload,HIGH,False
CWE-1393,29,8.13,68,68.97,CWE-1393,CWE-1393,HIGH,False
CWE-258,10,8.11,69,70.0,CWE-258,CWE-258,HIGH,False
CWE-301,1,8.1,70,100.0,CWE-301,CWE-301,HIGH,False
CWE-1083,1,8.1,71,100.0,CWE-1083,CWE-1083,HIGH,False
CWE-1352,1,8.1,72,100.0,CWE-1352,CWE-1352,HIGH,False
CWE-29,57,8.09,73,91.23,CWE-29,CWE-29,HIGH,False
CWE-704,244,8.07,74,86.89,CWE-704,CWE-704,HIGH,False
CWE-1260,5,8.06,75,100.0,CWE-1260,CWE-1260,HIGH,False
CWE-843,680,8.06,76,83.53,CWE-843,CWE-843,HIGH,False
CWE-98,721,8.05,77,96.26,CWE-98,CWE-98,HIGH,False
CWE-368,5,8.02,78,80.0,CWE-368,CWE-368,HIGH,False
CWE-121,2687,8.01,79,85.11,Stack-based Buffer Overflow,CWE-121 - Stack-based Buffer Overflow,HIGH,False
CWE-640,231,8.0,80,77.49,CWE-640,CWE-640,HIGH,False
CWE-118,24,7.99,81,70.83,CWE-118,CWE-118,HIGH,False
CWE-1242,10,7.99,82,70.0,CWE-1242,CWE-1242,HIGH,False
CWE-306,1871,7.98,83,75.47,Missing Authentication,CWE-306 - Missing Authentication,HIGH,False
CWE-1270,6,7.97,84,66.67,CWE-1270,CWE-1270,HIGH,False
CWE-249,6,7.97,85,100.0,CWE-249,CWE-249,HIGH,False
CWE-592,23,7.95,86,73.91,CWE-592,CWE-592,HIGH,False
CWE-787,13192,7.94,87,81.27,Out-of-bounds Write,CWE-787 - Out-of-bounds Write,HIGH,False
CWE-506,73,7.94,88,95.89,CWE-506,CWE-506,HIGH,False
CWE-1320,6,7.93,89,100.0,CWE-1320,CWE-1320,HIGH,False
CWE-547,10,7.93,90,80.0,CWE-547,CWE-547,HIGH,False
CWE-521,243,7.93,91,73.66,CWE-521,CWE-521,HIGH,False
CWE-123,43,7.93,92,72.09,CWE-123,CWE-123,HIGH,False
CWE-342,6,7.92,93,66.67,CWE-342,CWE-342,HIGH,False
CWE-124,25,7.91,94,68.0,CWE-124,CWE-124,HIGH,False
CWE-119,13229,7.9,95,75.92,Buffer Overflow,CWE-119 - Buffer Overflow,HIGH,False
CWE-82,7,7.9,96,85.71,CWE-82,CWE-82,HIGH,False
CWE-829,184,7.89,97,77.72,CWE-829,CWE-829,HIGH,False
CWE-361,7,7.89,98,71.43,CWE-361,CWE-361,HIGH,False
CWE-216,4,7.88,99,75.0,CWE-216,CWE-216,HIGH,False
CWE-196,4,7.88,100,100.0,CWE-196,CWE-196,HIGH,False
CWE-120,3697,7.87,101,77.14,Classic Buffer Overflow,CWE-120 - Classic Buffer Overflow,HIGH,False
CWE-96,22,7.87,102,68.18,CWE-96,CWE-96,HIGH,False
CWE-626,3,7.87,103,66.67,CWE-626,CWE-626,HIGH,False
CWE-842,9,7.86,104,88.89,CWE-842,CWE-842,HIGH,False
CWE-77,2883,7.85,105,73.88,Command Injection,CWE-77 - Command Injection,HIGH,False
CWE-749,138,7.85,106,74.64,CWE-749,CWE-749,HIGH,False
CWE-88,282,7.84,107,74.47,CWE-88,CWE-88,HIGH,False
CWE-122,1829,7.81,108,84.53,Heap-based Buffer Overflow,CWE-122 - Heap-based Buffer Overflow,HIGH,False
CWE-494,177,7.81,109,77.97,CWE-494,CWE-494,HIGH,False
CWE-416,6418,7.81,110,82.81,Use After Free,CWE-416 - Use After Free,HIGH,False
CWE-1236,274,7.81,111,76.64,CWE-1236,CWE-1236,HIGH,False
CWE-302,30,7.81,112,70.0,CWE-302,CWE-302,HIGH,False
CWE-556,1,7.8,113,100.0,CWE-556,CWE-556,HIGH,False
CWE-309,1,7.8,114,100.0,CWE-309,CWE-309,HIGH,False
CWE-336,1,7.8,115,100.0,CWE-336,CWE-336,HIGH,False
CWE-479,1,7.8,116,100.0,CWE-479,CWE-479,HIGH,False
CWE-794,4,7.8,117,75.0,CWE-794,CWE-794,HIGH,False
CWE-587,1,7.8,118,100.0,CWE-587,CWE-587,HIGH,False
CWE-62,2,7.8,119,100.0,CWE-62,CWE-62,HIGH,False
CWE-148,2,7.8,120,100.0,CWE-148,CWE-148,HIGH,False
CWE-102,1,7.8,121,100.0,CWE-102,CWE-102,HIGH,False
CWE-1106,1,7.8,122,100.0,CWE-1106,CWE-1106,HIGH,False
CWE-335,38,7.79,123,78.95,CWE-335,CWE-335,HIGH,False
CWE-551,7,7.79,124,71.43,CWE-551,CWE-551,HIGH,False
CWE-289,22,7.78,125,77.27,CWE-289,CWE-289,HIGH,False
CWE-388,40,7.77,126,70.0,CWE-388,CWE-388,HIGH,False
CWE-250,265,7.76,127,78.11,CWE-250,CWE-250,HIGH,False
CWE-114,24,7.75,128,70.83,CWE-114,CWE-114,HIGH,False
CWE-912,67,7.75,129,67.16,CWE-912,CWE-912,HIGH,False
CWE-620,67,7.75,130,67.16,CWE-620,CWE-620,HIGH,False
CWE-915,38,7.75,131,71.05,CWE-915,CWE-915,HIGH,False
CWE-710,6,7.75,132,66.67,CWE-710,CWE-710,HIGH,False
CWE-197,37,7.74,133,81.08,CWE-197,CWE-197,HIGH,False
CWE-307,491,7.74,134,68.43,CWE-307,CWE-307,HIGH,False
CWE-489,71,7.74,135,67.61,CWE-489,CWE-489,HIGH,False
CWE-230,8,7.74,136,62.5,CWE-230,CWE-230,HIGH,False
CWE-75,31,7.73,137,67.74,CWE-75,CWE-75,HIGH,False
CWE-913,73,7.72,138,75.34,CWE-913,CWE-913,HIGH,False
CWE-782,26,7.72,139,76.92,CWE-782,CWE-782,HIGH,False
CWE-129,517,7.72,140,81.43,CWE-129,CWE-129,HIGH,False
CWE-65,6,7.72,141,100.0,CWE-65,CWE-65,HIGH,False
CWE-89,17467,7.71,142,71.84,SQL Injection,CWE-89 - SQL Injection,HIGH,False
CWE-1188,232,7.7,143,67.67,CWE-1188,CWE-1188,HIGH,False
CWE-393,5,7.7,144,80.0,CWE-393,CWE-393,HIGH,False
CWE-646,8,7.7,145,62.5,CWE-646,CWE-646,HIGH,False
CWE-303,70,7.7,146,65.71,CWE-303,CWE-303,HIGH,False
CWE-146,8,7.69,147,87.5,CWE-146,CWE-146,HIGH,False
