cwe_id,cves_count,cvss_medio,quadrante,score_risco,high_critical_pct,rank_freq,rank_severity,cwe_nome_curto,cwe_label,faixa_risco,in_top10_risco,quadrante_ordem
CWE-79,41171,5.53,Frequente,0.5534,6.59,1,690,XSS,CWE-79 - XSS,Critico,True,3
CWE-89,17467,7.71,Dupla Ameaca,0.327,71.84,2,142,SQL Injection,CWE-89 - SQL Injection,Alto,True,1
CWE-787,13192,7.94,Dupla Ameaca,0.2543,81.27,4,87,Out-of-bounds Write,CWE-787 - Out-of-bounds Write,Alto,True,1
CWE-119,13229,7.9,Dupla Ameaca,0.254,75.92,3,95,Buffer Overflow,CWE-119 - Buffer Overflow,Alto,True,1
CWE-20,11653,6.9,Frequente,0.1954,53.09,5,384,Improper Input Validation,CWE-20 - Improper Input Validation,Moderado/Baixo,True,3
CWE-352,8744,6.94,Frequente,0.1474,49.03,7,375,CSRF,CWE-352 - CSRF,Moderado/Baixo,True,3
CWE-22,7952,7.04,Frequente,0.1359,56.59,9,345,Path Traversal,CWE-22 - Path Traversal,Moderado/Baixo,True,3
CWE-125,8030,6.76,Frequente,0.1319,51.62,8,428,Out-of-bounds Read,CWE-125 - Out-of-bounds Read,Moderado/Baixo,True,3
CWE-200,9468,5.62,Frequente,0.1293,23.95,6,679,Information Exposure,CWE-200 - Information Exposure,Moderado/Baixo,True,3
CWE-416,6418,7.81,Dupla Ameaca,0.1217,82.81,11,110,Use After Free,CWE-416 - Use After Free,Moderado/Baixo,True,1
CWE-78,5035,8.42,Dupla Ameaca,0.103,87.81,14,49,OS Command Injection,CWE-78 - OS Command Injection,Moderado/Baixo,False,1
CWE-94,5579,7.41,Frequente,0.1004,65.94,12,244,Code Injection,CWE-94 - Code Injection,Moderado/Baixo,False,3
CWE-862,6482,6.14,Frequente,0.0966,30.95,10,590,Missing Authorization,CWE-862 - Missing Authorization,Moderado/Baixo,False,3
CWE-264,5469,6.31,Frequente,0.0838,43.35,13,553,Permissions/Privileges,CWE-264 - Permissions/Privileges,Moderado/Baixo,False,3
CWE-287,3974,7.59,Dupla Ameaca,0.0733,65.1,17,168,Improper Authentication,CWE-287 - Improper Authentication,Moderado/Baixo,False,1
CWE-434,3692,8.15,Dupla Ameaca,0.0731,80.93,20,67,Unrestricted File Upload,CWE-434 - Unrestricted File Upload,Moderado/Baixo,False,1
CWE-476,4723,6.17,Frequente,0.0707,27.91,15,586,NULL Pointer Dereference,CWE-476 - NULL Pointer Dereference,Moderado/Baixo,False,3
CWE-120,3697,7.87,Dupla Ameaca,0.0707,77.14,19,101,Classic Buffer Overflow,CWE-120 - Classic Buffer Overflow,Moderado/Baixo,False,1
CWE-284,4265,6.59,Frequente,0.0683,45.98,16,479,Improper Access Control,CWE-284 - Improper Access Control,Moderado/Baixo,False,3
CWE-77,2883,7.85,Dupla Ameaca,0.055,73.88,21,105,Command Injection,CWE-77 - Command Injection,Moderado/Baixo,False,1
CWE-74,3814,5.74,Frequente,0.0532,19.51,18,663,Injection (umbrella),CWE-74 - Injection (umbrella),Moderado/Baixo,False,3
CWE-190,2882,7.58,Dupla Ameaca,0.0531,75.47,22,174,Integer Overflow,CWE-190 - Integer Overflow,Moderado/Baixo,False,1
CWE-121,2687,8.01,Dupla Ameaca,0.0523,85.11,24,79,Stack-based Buffer Overflow,CWE-121 - Stack-based Buffer Overflow,Moderado/Baixo,False,1
CWE-502,2280,8.55,Dupla Ameaca,0.0474,90.13,29,39,Deserialization,CWE-502 - Deserialization,Moderado/Baixo,False,1
CWE-269,2473,7.61,Dupla Ameaca,0.0457,75.78,27,165,Improper Privilege Management,CWE-269 - Improper Privilege Management,Moderado/Baixo,False,1
CWE-399,2694,6.61,Frequente,0.0432,48.33,23,474,Resource Management Errors,CWE-399 - Resource Management Errors,Moderado/Baixo,False,3
CWE-400,2641,6.72,Frequente,0.0431,54.45,25,441,Uncontrolled Resource Consumption,CWE-400 - Uncontrolled Resource Consumption,Moderado/Baixo,False,3
CWE-863,2422,6.68,Frequente,0.0393,46.53,28,453,Incorrect Authorization,CWE-863 - Incorrect Authorization,Moderado/Baixo,False,3
CWE-306,1871,7.98,Dupla Ameaca,0.0363,75.47,32,83,Missing Authentication,CWE-306 - Missing Authentication,Moderado/Baixo,False,1
CWE-122,1829,7.81,Dupla Ameaca,0.0347,84.53,33,108,Heap-based Buffer Overflow,CWE-122 - Heap-based Buffer Overflow,Moderado/Baixo,False,1
CWE-310,2500,5.58,Frequente,0.0339,14.32,26,684,Cryptographic Issues,CWE-310 - Cryptographic Issues,Moderado/Baixo,False,3
CWE-918,1922,6.97,Frequente,0.0325,51.61,31,367,SSRF,CWE-918 - SSRF,Moderado/Baixo,False,3
CWE-798,1570,8.38,Dupla Ameaca,0.032,82.61,34,53,Hard-coded Credentials,CWE-798 - Hard-coded Credentials,Moderado/Baixo,False,1
CWE-362,2080,6.23,Frequente,0.0315,44.57,30,573,Race Condition,CWE-362 - Race Condition,Moderado/Baixo,False,3
CWE-732,1544,7.03,Frequente,0.0264,60.69,35,347,Incorrect Permission Assignment,CWE-732 - Incorrect Permission Assignment,Moderado/Baixo,False,3
CWE-276,1420,7.04,Frequente,0.0243,60.77,37,346,Incorrect Default Permissions,CWE-276 - Incorrect Default Permissions,Moderado/Baixo,False,3
CWE-770,1417,6.7,Frequente,0.0231,50.46,38,445,Allocation Without Limits,CWE-770 - Allocation Without Limits,Moderado/Baixo,False,3
CWE-611,1188,7.58,Dupla Ameaca,0.0219,69.28,45,171,XXE,CWE-611 - XXE,Moderado/Baixo,False,1
CWE-401,1524,5.9,Frequente,0.0218,18.96,36,643,Memory Leak,CWE-401 - Memory Leak,Moderado/Baixo,False,3
CWE-59,1375,6.5,Frequente,0.0217,48.65,39,513,Link Following,CWE-59 - Link Following,Moderado/Baixo,False,3
CWE-522,1246,7.1,Frequente,0.0215,53.21,41,331,Insufficiently Protected Credentials,CWE-522 - Insufficiently Protected Credentials,Moderado/Baixo,False,3
CWE-189,1229,7.16,Frequente,0.0214,53.3,42,307,Numeric Errors,CWE-189 - Numeric Errors,Moderado/Baixo,False,3
CWE-295,1229,6.87,Frequente,0.0205,50.37,43,400,Improper Certificate Validation,CWE-295 - Improper Certificate Validation,Moderado/Baixo,False,3
CWE-601,1326,5.96,Frequente,0.0192,7.32,40,632,Open Redirect,CWE-601 - Open Redirect,Moderado/Baixo,False,3
CWE-427,1043,7.43,Frequente,0.0188,80.54,46,237,DLL Hijacking,CWE-427 - DLL Hijacking,Moderado/Baixo,False,3
