scenario_id;scenario_name;treatment;trial;execution_order;elapsed_ms;response_bytes;checksum
Q1;Lista de repositorios;GraphQL;1;726;0.031375;2552;-230862105
Q1;Lista de repositorios;GraphQL;2;2;0.037542;2552;-230862105
Q1;Lista de repositorios;GraphQL;3;463;0.030958;2552;-230862105
Q1;Lista de repositorios;GraphQL;4;561;0.031125;2552;-230862105
Q1;Lista de repositorios;GraphQL;5;791;0.030625;2552;-230862105
Q1;Lista de repositorios;GraphQL;6;569;0.031042;2552;-230862105
Q1;Lista de repositorios;GraphQL;7;158;0.030750;2552;-230862105
Q1;Lista de repositorios;GraphQL;8;1134;0.030792;2552;-230862105
Q1;Lista de repositorios;GraphQL;9;187;0.032375;2552;-230862105
Q1;Lista de repositorios;GraphQL;10;202;0.033625;2552;-230862105
Q1;Lista de repositorios;GraphQL;11;1140;0.030916;2552;-230862105
Q1;Lista de repositorios;GraphQL;12;612;0.028958;2552;-230862105
Q1;Lista de repositorios;GraphQL;13;1176;0.030708;2552;-230862105
Q1;Lista de repositorios;GraphQL;14;281;0.031125;2552;-230862105
Q1;Lista de repositorios;GraphQL;15;1158;0.030250;2552;-230862105
Q1;Lista de repositorios;GraphQL;16;325;0.030916;2552;-230862105
Q1;Lista de repositorios;GraphQL;17;911;0.031000;2552;-230862105
Q1;Lista de repositorios;GraphQL;18;402;0.036042;2552;-230862105
Q1;Lista de repositorios;GraphQL;19;6;0.034583;2552;-230862105
Q1;Lista de repositorios;GraphQL;20;355;0.030708;2552;-230862105
Q1;Lista de repositorios;GraphQL;21;837;0.030875;2552;-230862105
Q1;Lista de repositorios;GraphQL;22;967;0.030417;2552;-230862105
Q1;Lista de repositorios;GraphQL;23;628;0.029708;2552;-230862105
Q1;Lista de repositorios;GraphQL;24;213;0.030542;2552;-230862105
Q1;Lista de repositorios;GraphQL;25;557;0.035916;2552;-230862105
Q1;Lista de repositorios;GraphQL;26;1077;0.032375;2552;-230862105
Q1;Lista de repositorios;GraphQL;27;214;0.030000;2552;-230862105
Q1;Lista de repositorios;GraphQL;28;538;0.029834;2552;-230862105
Q1;Lista de repositorios;GraphQL;29;1166;0.030625;2552;-230862105
Q1;Lista de repositorios;GraphQL;30;1163;0.030708;2552;-230862105
Q1;Lista de repositorios;GraphQL;31;1149;0.030208;2552;-230862105
Q1;Lista de repositorios;GraphQL;32;725;0.031167;2552;-230862105
Q1;Lista de repositorios;GraphQL;33;941;0.030334;2552;-230862105
Q1;Lista de repositorios;GraphQL;34;9;0.030709;2552;-230862105
Q1;Lista de repositorios;GraphQL;35;512;0.030750;2552;-230862105
Q1;Lista de repositorios;GraphQL;36;623;0.030584;2552;-230862105
Q1;Lista de repositorios;GraphQL;37;958;0.030708;2552;-230862105
Q1;Lista de repositorios;GraphQL;38;638;0.032000;2552;-230862105
