scenario_id;scenario_name;treatment;n;mean_ms;median_ms;stddev_ms;min_ms;p95_ms;mean_bytes;median_bytes;stddev_bytes;min_bytes;max_bytes
Q1;Lista de repositorios;GraphQL;120;0.147353;0.132700;0.035046;0.107200;0.216625;2552.00;2552.00;0.00;2552.00;2552.00
Q1;Lista de repositorios;REST;120;0.636072;0.582300;0.137903;0.499200;0.889955;21239.00;21239.00;0.00;21239.00;21239.00
Q2;Detalhe do repositorio;GraphQL;120;0.021080;0.018650;0.009796;0.007800;0.039370;185.00;185.00;0.00;185.00;185.00
Q2;Detalhe do repositorio;REST;120;0.269205;0.255600;0.055950;0.188700;0.383035;12440.00;12440.00;0.00;12440.00;12440.00
Q3;Issues recentes;GraphQL;120;0.347237;0.320650;0.069577;0.256900;0.479890;7633.00;7633.00;0.00;7633.00;7633.00
Q3;Issues recentes;REST;120;1.024664;0.965800;0.203925;0.796900;1.378410;54394.00;54394.00;0.00;54394.00;54394.00
Q4;Contribuidores;GraphQL;120;0.102702;0.094100;0.026662;0.068800;0.153160;2053.00;2053.00;0.00;2053.00;2053.00
Q4;Contribuidores;REST;120;0.449507;0.416700;0.080301;0.355600;0.595220;21183.00;21183.00;0.00;21183.00;21183.00
Q5;Visao aninhada;GraphQL;120;0.092345;0.086000;0.020569;0.058700;0.137815;1629.00;1629.00;0.00;1629.00;1629.00
Q5;Visao aninhada;REST;120;0.753230;0.719050;0.191467;0.556800;0.982210;34223.00;34223.00;0.00;34223.00;34223.00
